FORM_ID,FORM_NAME
000ANDR,ANHYDRITE
000BRVSQ,BARTLESVILLE / SQUIRREL
000BYLHS,BYNUM LOWER HURST
000CGLM,CONGLOMERATE
000CGLML,CONGLOMERATE LOWER
000CGLMM,CONGLOMERATE MIDDLE
000CGLMU,CONGLOMERATE UPPER
000CMGD,COMMINGLED (MORE THAN THREE ZONES)
000COAL,COAL /COAL BEDS/
000GRWS,GRANITE WASH
000GRWSL,GRANITE WASH LOWER
000IGNS,IGNEOUS ROCK
000KSMWG,KEYES / MORROW G
000LIME,LIME
000PRLM,POROSITY LM
000PRST,POROSITY
000QRTS,QUARTZ SAND
000QRTZ,QUARTZITE
000UNKWN,UNKNOWN
009BASAL,BASAL
009MSZC,MESOZOIC
009PLZC,PALEOZOIC
109BSMN,BASEMENT
109CPHB,COOPER HARBOR
109FDLC,FOND DU LAC
109GBBR,GABBRO
109GNSS,GNEISS
109GRNT,GRANITE
109GRWS,GRANITE WASH
109HCKL,HINCKLEY
109KWNN,KEWEENAWAN
109MERS,MEERS
109PCCG,PRE-CAMBRIAN CONGLOMERATE
109PCMB,PRECAMBRIAN
109QRTZ,QUARTZITE
109RDRV,RED RIVER
109RICE,RICE
109SAND,SAND
109SCST,SCHIST
109SOUX,SIOUX QUARTZITE
109SPVN,SPAVINAW
109SYNT,SYENITE
109TSMG,TISHOMINGO
153BNTR,BONNETERRE
153BTRL,BUTTERLY
153CMBS,CAMBRIAN SD
153CPMN,CAP MOUNTAIN
153CRLN,CARLTON
153DRBC,DRESBACH /SD/
153DRBY,DERBY /DOLO/
153DRUN,DOE RUN /DOLO/
153DVIS,DAVIS
153DVISL,DAVIS LOWER
153ECLR,EAU CLAIRE
153ELVS,ELVINS
153EMNC,EMINENCE /DOLO/
153FRNC,FRANCONIA
153FRSL,FORT SILL
153GLVL,GALESVILLE /SD/
153GRSD,GREENSAND
153HCKR,HICKORY /SD/
153HNCK,HONEY CREEK
153HNCKL,HONEY CREEK LOWER
153IRNN,IRONTON /SD/
153JRDN,JORDAN /SD/
153LMBD,LOMBARD
153LMTT,LAMOTTE
153LNMN,LION MOUNTAIN
153LRCK,LONE ROCK
153MGCK,MORGAN CREEK
153MNSM,MOUNT SIMON
153POTS,POTOSI /DOLO/
153PRCR,PROCTOR /DOLO/
153REGN,REAGAN /SD/
153RILY,RILEY
153RNGLT,REAGAN / GORHAM / LANSING / TORONTO
153ROYR,ROYER
153SGLM,SIGNAL MOUNTAIN
153SLRC,ST LAWRENCE
153SNSB,SAN SABA
153STCH,SAWATCH
153TMBH,TIMBERED HILLS
153TMPL,TREMPEALEAU
153WELG,WELGE
153WLBR,WILBERNS
159CLLR,COLLIER FM
159CMBR,CAMBRIAN
159GRNTH,GRANITE WEATHERED
159LKFT,LUKFATA
159OCFC,OUACHITA FACIES
159RGNLG,REAGAN/SD/ / LANSING
169ABCK,ARBUCKLE
169ABCK,ARBUCKLE
169ABCK1,ARBUCKLE 1
169ABCK2,ARBUCKLE 2
169ABCK3,ARBUCKLE 3
169ABCKA,ARBUCKLE A
169ABCKC,ARBUCKLE CHERT
169ABCKD,ARBUCKLE/DM/
169ABCKL,ARBUCKLE LOWER
169ABCKM,ARBUCKLE MIDDLE
169ABCKS,ARBUCKLE SILICEOUS
169ABCKU,ARBUCKLE UPPER
169ABCKW,ARBUCKLE WEATHERED
169ABCKZ,ARBUCKLE BROWN ZONE
169ABCLB,ARBUCKLE B
169ABDS,ARBUCKLE DOLOMITE SAND
169ABEDE,ARBUCKLE / DEESE
169ABKD,ARBUCKLE DOLOMITE
169ABKLB,ARBUCKLE / LANSING B
169ABKLM,ARBUCKLE/LM/
169ABKSD,ARBUCKLE SOLID
169ABLJI,ARBUCKLE / LANSING J / LANSING I
169ABODH,ARBUCKLE / ORDOVICIAN / HOMINY/SD/
169ABRKC,ARBUCKLE C
169AELGI,ARBUCKLE / LANSING I
169AETO,ARBUCKLE / TORONTO
169AETOP,ARBUCKLE / TORONTO/ PLATTSMOUTH
169AEVSC,ARBUCKLE / VIOLA / SIMPSON / CROMWELL
169AKBSM,ARBUCKLE / BURGESS / MISSISSIPPIAN
169AKCTT,ARBUCKLE / LANSING-KANSAS CITY / TORONTO / TOPEKA
169AKHNS,ARBUCKLE / HUNTON / SIMPSON
169AKHWS,ARBUCKLE / HUNTON / WOODFORD / SYCAMORE
169AKJS,ARBUCKLE / JOINS
169AKLKC,ARBUCKLE / LANSING-KANSAS CITY
169AKMPO,ARBUCKLE / MISSISSIPPIAN / OSWEGO
169AKMS,ARBUCKLE / MCLISH
169AKMSP,ARBUCKLE / MISSISSIPPIAN
169AKSMP,ARBUCKLE / SIMPSON
169AKSRV,ARBUCKLE / SYCAMORE / VIOLA
169ALKST,ARBUCKLE / LANSING-KANSAS CITY / LANSING A / TORONTO
169AMOLS,ARBUCKLE/WILCOX/MISSI/BARTLSVILE/OSWGO/CLEVLND/LAYTN/STALNKR
169ARBCH,ARBUCKLE CHT
169ARBKS,ARBUCKLE SD
169ARBOC,ARBUCKLE / OIL CREEK UPPER
169ARLIC,ARBUCKLE/LANSING I/LANSING E/LANSING C
169AROCB,ARBUCKLE / OIL CREEK / BROMIDE 1
169ASVL,ARBUCKLE / SIMPSON / VIOLA
169ATLKC,ARBUCKLE / TRENTON / LANSING-KANSAS CITY
169AVHCA,ARBUCKLE/MCLISH/VIOLA/HUNTON/MORRIS//ATOKA/CARPENTER//ATOKA
169AWBOC,ARBUCKLE/WILCX/MISSIPAN/BARTLSVL/OSWEGO/CLEVLND/LAYTN/STNKLR
169AWBOS,ARBUCKLE/WILCOX/MISSI/BARTLESVILE/OSWEGO/CLVLND/LAYTN/STLNKR
169BRWN,BROWN
169CBOV,CAMBRIAN-ORDOVICIAN
169KNOX,KNOX
169PEAK,PRUE / ARBUCKLE
169SAND,CAMBRIAN/ORDOVICIAN SAND
169WADE,WADE
169WDABK,WADE / ARBUCKLE
201BKMN,BEEKMANTOWN
201BKRK,BLACK ROCK
201BLKL,BLAKELY
201BRAY,BRAY
201CLCK,COOL CREEK
201CNDN,CANADIAN
201CTTR,COTTER /DOLO/
201EBGD,ELLENBURGER DET
