API5,FIPS5,STATE,COUNTY,LATITUDE,LONGITUDE,STATE_NAME
01001,01001,AL,AUTAUGA,32.532237,-86.64644,ALABAMA
01003,01003,AL,BALDWIN,30.659218,-87.746067,ALABAMA
01005,01005,AL,BARBOUR,31.870253,-85.405104,ALABAMA
01007,01007,AL,BIBB,33.015893,-87.127148,ALABAMA
01009,01009,AL,BLOUNT,33.977358,-86.56644,ALABAMA
01011,01011,AL,BULLOCK,32.101759,-85.717261,ALABAMA
01013,01013,AL,BUTLER,31.751667,-86.681969,ALABAMA
01015,01015,AL,CALHOUN,33.771706,-85.822513,ALABAMA
01017,01017,AL,CHAMBERS,32.915504,-85.394032,ALABAMA
01019,01019,AL,CHEROKEE,34.069515,-85.654242,ALABAMA
01021,01021,AL,CHILTON,32.854051,-86.726607,ALABAMA
01023,01023,AL,CHOCTAW,31.990954,-88.248889,ALABAMA
01025,01025,AL,CLARKE,31.685521,-87.818624,ALABAMA
01027,01027,AL,CLAY,33.2704,-85.863525,ALABAMA
01029,01029,AL,CLEBURNE,33.671964,-85.516126,ALABAMA
01031,01031,AL,COFFEE,31.402258,-85.989602,ALABAMA
01033,01033,AL,COLBERT,34.703112,-87.801457,ALABAMA
01035,01035,AL,CONECUH,31.430926,-86.988722,ALABAMA
01037,01037,AL,COOSA,32.931445,-86.243482,ALABAMA
01039,01039,AL,COVINGTON,31.243987,-86.448721,ALABAMA
01041,01041,AL,CRENSHAW,31.732826,-86.319222,ALABAMA
01043,01043,AL,CULLMAN,34.131923,-86.869267,ALABAMA
01045,01045,AL,DALE,31.430654,-85.609476,ALABAMA
01047,01047,AL,DALLAS,32.33354,-87.114356,ALABAMA
01049,01049,AL,DEKALB,34.460929,-85.803992,ALABAMA
01051,01051,AL,ELMORE,32.597229,-86.142735,ALABAMA
01053,01053,AL,ESCAMBIA,31.122287,-87.16841,ALABAMA
01055,01055,AL,ETOWAH,34.047641,-86.034263,ALABAMA
01057,01057,AL,FAYETTE,33.716157,-87.764292,ALABAMA
01059,01059,AL,FRANKLIN,34.441989,-87.842814,ALABAMA
01061,01061,AL,GENEVA,31.092382,-85.821022,ALABAMA
01063,01063,AL,GREENE,32.844497,-87.9642,ALABAMA
01065,01065,AL,HALE,32.752796,-87.623061,ALABAMA
01067,01067,AL,HENRY,31.516978,-85.239971,ALABAMA
01069,01069,AL,HOUSTON,31.158183,-85.296411,ALABAMA
01071,01071,AL,JACKSON,34.764114,-85.980056,ALABAMA
01073,01073,AL,JEFFERSON,33.553444,-86.896536,ALABAMA
01075,01075,AL,LAMAR,33.787085,-88.087431,ALABAMA
01077,01077,AL,LAUDERDALE,34.904122,-87.650997,ALABAMA
01079,01079,AL,LAWRENCE,34.529776,-87.321865,ALABAMA
01081,01081,AL,LEE,32.604064,-85.353048,ALABAMA
01083,01083,AL,LIMESTONE,34.810239,-86.981399,ALABAMA
01085,01085,AL,LOWNDES,32.147888,-86.650586,ALABAMA
01087,01087,AL,MACON,32.387027,-85.692887,ALABAMA
01089,01089,AL,MADISON,34.764238,-86.55108,ALABAMA
01091,01091,AL,MARENGO,32.247591,-87.791091,ALABAMA
01093,01093,AL,MARION,34.138219,-87.881551,ALABAMA
01095,01095,AL,MARSHALL,34.309564,-86.321668,ALABAMA
01097,01097,AL,MOBILE,30.684572,-88.196568,ALABAMA
01099,01099,AL,MONROE,31.580332,-87.383266,ALABAMA
01101,01101,AL,MONTGOMERY,32.202881,-86.204461,ALABAMA
01103,01103,AL,MORGAN,34.454484,-86.846402,ALABAMA
01105,01105,AL,PERRY,32.639005,-87.293827,ALABAMA
01107,01107,AL,PICKENS,33.296793,-88.096863,ALABAMA
01109,01109,AL,PIKE,31.798651,-85.941604,ALABAMA
01111,01111,AL,RANDOLPH,33.296475,-85.464068,ALABAMA
01113,01113,AL,RUSSELL,32.289811,-85.18698,ALABAMA
01115,01115,AL,ST. CLAIR,33.712963,-86.315663,ALABAMA
01117,01117,AL,SHELBY,33.263043,-86.678089,ALABAMA
01119,01119,AL,SUMTER,32.597481,-88.200057,ALABAMA
01121,01121,AL,TALLADEGA,33.369314,-86.17593,ALABAMA
01123,01123,AL,TALLAPOOSA,32.863369,-85.799553,ALABAMA
01125,01125,AL,TUSCALOOSA,33.29022,-87.522783,ALABAMA
01127,01127,AL,WALKER,33.791558,-87.301094,ALABAMA
