ym = mcf in month,xm = month,weight factor,WELLCOUNT,LATLENGTH,CUMUL
990.2322,1,40,235,9180.51,16729.499
574.341,2,39,226,9167.95,32600.206
446.0195,3,38,227,9167.18,44981.862
398.4096,4,37,227,9182.89,55506.35
344.3289,5,36,225,9197.7,64859.493
319.707,6,35,228,9196.79,73241.386
286.1138,7,34,224,9162.39,81298.868
248.6462,8,33,225,9188.22,88133.487
233.3017,9,32,225,9143.45,94490.036
224.112,10,31,226,9154.31,100529.658
213.5065,11,30,229,9145.46,106097.852
196.0388,12,29,228,9143.47,111651.06
216.0403,13,28,229,9197.96,116950.608
190.9604,14,27,227,9214.23,122335.952
171.851,15,26,225,9206.86,127126.56
161.6514,16,25,222,9177.77,131634.358
152.7682,17,24,218,9183.42,135790.463
152.7998,18,23,219,9175.06,139973.331
143.5395,19,22,220,9199.88,143822.57
141.5606,20,21,202,9148.22,147660.627
137.3051,21,20,201,9122.68,151379.181
138.5238,22,19,200,9149.53,155108.593
128.5113,23,18,200,9158.07,158600.289
141.1409,24,17,193,9140.17,162134.276
119.089,25,16,193,9157.74,165271.416
115.3494,26,15,185,9107.16,168353.921
115.4545,27,14,179,9098.6,171497.849
118.0824,28,13,176,9078.58,174603.698
116.6341,29,12,174,8994,177490.587
104.9249,30,11,167,8960.47,180406.369
103.3568,31,10,159,8803.66,183257.065
98.055,32,9,156,8762.89,185995.353
99.4821,33,8,154,8844.33,188650.986
99.491,34,7,148,8819.77,191303.588
98.6753,35,6,143,8791.48,193953.039
90.8791,36,5,137,8769.18,196431.065
88.5441,37,4,129,8772.79,198826.967
91.3163,38,3,125,8750.63,201134.271
90.3129,39,2,123,8701.28,203489.853
87.9661,40,1,118,8552.74,205979.653
83.1135,41,,117,8629.47,208196.004
88.9251,42,,117,8668.97,210487.459
93.2751,43,,103,8613.01,212966.768
96.02,44,,92,8470.14,215437.538
91.2138,45,,87,8511.44,218003.143
89.0081,46,,81,8733.22,220429.106
82.8734,47,,75,8642.14,222689.445
78.1366,48,,72,8701.48,224868.952
78.8939,49,,72,8609.96,227126.789
86.0303,50,,67,8598.88,229410.175
77.9496,51,,65,8507.25,231586.656
75.9987,52,,63,8579.23,233641.066
74.3714,53,,62,8528.29,235637.505
71.3178,54,,54,8386.97,237526.255
70.7116,55,,51,8224.14,239324.851
76.1298,56,,45,8320.8,241305.873
76.8167,57,,45,8406.57,243404.597
77.4785,58,,45,8446.55,245589.377
80.8429,59,,43,8358.2,247641.853
84.3132,60,,42,8357.93,249933.424
76.0621,61,,42,8448.53,252126.673
87.7506,62,,40,8441.26,254116.587
72.6589,63,,36,8376.23,256045.02
93.2988,64,,36,8317.44,258467.134
89.6749,65,,37,8392.36,260863.475
81.4361,66,,35,8322.37,263124.119
87.7698,67,,34,8369.66,265396.867
83.679,68,,35,8267.45,267542.447
81.205,69,,31,8133.24,269545.29
77.0106,70,,29,8161.57,271748.717
77.1214,71,,30,8103.44,273824.572
76.4488,72,,29,8170.37,275926.598
83.9593,73,,29,8170.37,278290.613
76.9013,74,,28,8071.33,279978.335
69.9145,75,,28,8140.85,281805.853
64.1699,76,,25,7945.71,283576.016
66.5843,77,,25,7950.45,285154.133
50.2257,78,,22,7814.62,286604.332
63.4978,79,,23,7874.31,288280.51
56.337,80,,23,7845.7,289881.141
62.6776,81,,20,7655.59,291636.613
61.7981,82,,20,7883.05,293115.091
51.479,83,,17,7849.13,294342.795
62.6418,84,,16,7774.5,295714.07
39.4452,85,,15,7795.62,296879.703
37.1439,86,,14,7696.54,297963.49
50.909,87,,14,7974.81,299148.954
45.1544,88,,13,7883,300430.807
45.9787,89,,12,7763.36,301689.637
41.2211,90,,12,7763.36,302750.117
47.0472,91,,12,7763.36,303967.1
40.2546,92,,12,7763.36,305120.608
40.3253,93,,12,7763.36,306254.04
45.2076,94,,12,7763.36,307244.583
45.8183,95,,11,7643.88,308461.688
46.0173,96,,11,7643.88,309512.939
39.4267,97,,12,7763.36,310686.778
37.3302,98,,12,7763.36,311688.75
36.4256,99,,12,7763.36,312539.705
38.8391,100,,12,7763.36,313632.3
30.6757,101,,11,7605.62,314413.356
40.6803,102,,8,7632.29,315491.032
30.4618,103,,8,7632.29,316249.248
43.0253,104,,6,8511.41,317244.065
32.6237,105,,6,8511.41,318197.971
28.1199,106,,6,8511.41,318999.582
30.4778,107,,5,8193.41,319932.164
29.9586,108,,5,8193.41,320811.589
25.4089,109,,6,8511.41,321497.745
30.9344,110,,5,7948.6,322321.701
28.4497,111,,6,7163.75,322915.917
33.7184,112,,7,7770.97,323818.459
50.1038,113,,6,7163.75,325069.991
41.115,114,,5,6596.79,326235.899
26.5815,115,,4,5162.46,326995.489
36.185,116,,5,6596.79,328045.325
27.8679,117,,4,5162.46,328818.929
