code,name,alternate,state_ansi,state_api,state_ab,state_name,api_full,ansi_full
1,Adjuntas,Adjuntas Municipio,72, , , ,1,72001
3,Aguada,Aguada Municipio,72, , , ,3,72003
5,Aguadilla,Aguadilla Municipio,72, , , ,5,72005
7,Aguas Buenas,Aguas Buenas Municipio,72, , , ,7,72007
9,Aibonito,Aibonito Municipio,72, , , ,9,72009
10,St. Croix,St. Croix Island,78, , , ,10,78010
10,Guam,Guam,66, , , ,10,66010
10,Eastern,Eastern District,60, , , ,10,60010
11,Añasco,Añasco Municipio,72, , , ,11,72011
13,Arecibo,Arecibo Municipio,72, , , ,13,72013
15,Arroyo,Arroyo Municipio,72, , , ,15,72015
17,Barceloneta,Barceloneta Municipio,72, , , ,17,72017
19,Barranquitas,Barranquitas Municipio,72, , , ,19,72019
20,St. John,St. John Island,78, , , ,20,78020
20,Manu'a,Manu'a District,60, , , ,20,60020
21,Bayamón,Bayamón Municipio,72, , , ,21,72021
23,Cabo Rojo,Cabo Rojo Municipio,72, , , ,23,72023
25,Caguas,Caguas Municipio,72, , , ,25,72025
27,Camuy,Camuy Municipio,72, , , ,27,72027
29,Canóvanas,Canóvanas Municipio,72, , , ,29,72029
30,St. Thomas,St. Thomas Island,78, , , ,30,78030
30,Rose Island,Rose Island,60, , , ,30,60030
31,Carolina,Carolina Municipio,72, , , ,31,72031
33,Cataño,Cataño Municipio,72, , , ,33,72033
35,Cayey,Cayey Municipio,72, , , ,35,72035
37,Ceiba,Ceiba Municipio,72, , , ,37,72037
39,Ciales,Ciales Municipio,72, , , ,39,72039
40,Swains Island,Swains Island,60, , , ,40,60040
41,Cidra,Cidra Municipio,72, , , ,41,72041
43,Coamo,Coamo Municipio,72, , , ,43,72043
45,Comerío,Comerío Municipio,72, , , ,45,72045
47,Corozal,Corozal Municipio,72, , , ,47,72047
49,Culebra,Culebra Municipio,72, , , ,49,72049
50,Western,Western District,60, , , ,50,60050
51,Dorado,Dorado Municipio,72, , , ,51,72051
53,Fajardo,Fajardo Municipio,72, , , ,53,72053
54,Florida,Florida Municipio,72, , , ,54,72054
55,Guánica,Guánica Municipio,72, , , ,55,72055
57,Guayama,Guayama Municipio,72, , , ,57,72057
59,Guayanilla,Guayanilla Municipio,72, , , ,59,72059
61,Guaynabo,Guaynabo Municipio,72, , , ,61,72061
63,Gurabo,Gurabo Municipio,72, , , ,63,72063
65,Hatillo,Hatillo Municipio,72, , , ,65,72065
67,Hormigueros,Hormigueros Municipio,72, , , ,67,72067
69,Humacao,Humacao Municipio,72, , , ,69,72069
71,Isabela,Isabela Municipio,72, , , ,71,72071
73,Jayuya,Jayuya Municipio,72, , , ,73,72073
75,Juana Díaz,Juana Díaz Municipio,72, , , ,75,72075
77,Juncos,Juncos Municipio,72, , , ,77,72077
79,Lajas,Lajas Municipio,72, , , ,79,72079
81,Lares,Lares Municipio,72, , , ,81,72081
83,Las Marías,Las Marías Municipio,72, , , ,83,72083
85,Northern Islands,Northern Islands Municipality,69, , , ,85,69085
85,Las Piedras,Las Piedras Municipio,72, , , ,85,72085
87,Loíza,Loíza Municipio,72, , , ,87,72087
89,Luquillo,Luquillo Municipio,72, , , ,89,72089
91,Manatí,Manatí Municipio,72, , , ,91,72091
93,Maricao,Maricao Municipio,72, , , ,93,72093
95,Maunabo,Maunabo Municipio,72, , , ,95,72095
97,Mayagüez,Mayagüez Municipio,72, , , ,97,72097
99,Moca,Moca Municipio,72, , , ,99,72099
100,Rota,Rota Municipality,69, , , ,100,69100
101,Morovis,Morovis Municipio,72, , , ,101,72101
103,Naguabo,Naguabo Municipio,72, , , ,103,72103
105,Naranjito,Naranjito Municipio,72, , , ,105,72105
107,Orocovis,Orocovis Municipio,72, , , ,107,72107
109,Patillas,Patillas Municipio,72, , , ,109,72109
110,Saipan,Saipan Municipality,69, , , ,110,69110
111,Peñuelas,Peñuelas Municipio,72, , , ,111,72111
113,Ponce,Ponce Municipio,72, , , ,113,72113
115,Quebradillas,Quebradillas Municipio,72, , , ,115,72115
117,Rincón,Rincón Municipio,72, , , ,117,72117
119,Río Grande,Río Grande Municipio,72, , , ,119,72119
120,Tinian,Tinian Municipality,69, , , ,120,69120
121,Sabana Grande,Sabana Grande Municipio,72, , , ,121,72121
123,Salinas,Salinas Municipio,72, , , ,123,72123
125,San Germán,San Germán Municipio,72, , , ,125,72125
127,San Juan,San Juan Municipio,72, , , ,127,72127
129,San Lorenzo,San Lorenzo Municipio,72, , , ,129,72129
131,San Sebastián,San Sebastián Municipio,72, , , ,131,72131
133,Santa Isabel,Santa Isabel Municipio,72, , , ,133,72133
135,Toa Alta,Toa Alta Municipio,72, , , ,135,72135
137,Toa Baja,Toa Baja Municipio,72, , , ,137,72137
139,Trujillo Alto,Trujillo Alto Municipio,72, , , ,139,72139
141,Utuado,Utuado Municipio,72, , , ,141,72141
143,Vega Alta,Vega Alta Municipio,72, , , ,143,72143
145,Vega Baja,Vega Baja Municipio,72, , , ,145,72145
147,Vieques,Vieques Municipio,72, , , ,147,72147
149,Villalba,Villalba Municipio,72, , , ,149,72149
151,Yabucoa,Yabucoa Municipio,72, , , ,151,72151
153,Yauco,Yauco Municipio,72, , , ,153,72153
1,Autauga,Autauga County,1,1,AL,Alabama,1001,1001
3,Baldwin,Baldwin County,1,1,AL,Alabama,1003,1003
5,Barbour,Barbour County,1,1,AL,Alabama,1005,1005
7,Bibb,Bibb County,1,1,AL,Alabama,1007,1007
9,Blount,Blount County,1,1,AL,Alabama,1009,1009
11,Bullock,Bullock County,1,1,AL,Alabama,1011,1011
13,Butler,Butler County,1,1,AL,Alabama,1013,1013
15,Calhoun,Calhoun County,1,1,AL,Alabama,1015,1015
17,Chambers,Chambers County,1,1,AL,Alabama,1017,1017
19,Cherokee,Cherokee County,1,1,AL,Alabama,1019,1019
21,Chilton,Chilton County,1,1,AL,Alabama,1021,1021
23,Choctaw,Choctaw County,1,1,AL,Alabama,1023,1023
25,Clarke,Clarke County,1,1,AL,Alabama,1025,1025
27,Clay,Clay County,1,1,AL,Alabama,1027,1027
29,Cleburne,Cleburne County,1,1,AL,Alabama,1029,1029
31,Coffee,Coffee County,1,1,AL,Alabama,1031,1031
33,Colbert,Colbert County,1,1,AL,Alabama,1033,1033
35,Conecuh,Conecuh County,1,1,AL,Alabama,1035,1035
37,Coosa,Coosa County,1,1,AL,Alabama,1037,1037
39,Covington,Covington County,1,1,AL,Alabama,1039,1039
41,Crenshaw,Crenshaw County,1,1,AL,Alabama,1041,1041
43,Cullman,Cullman County,1,1,AL,Alabama,1043,1043
45,Dale,Dale County,1,1,AL,Alabama,1045,1045
47,Dallas,Dallas County,1,1,AL,Alabama,1047,1047
49,DeKalb,DeKalb County,1,1,AL,Alabama,1049,1049
51,Elmore,Elmore County,1,1,AL,Alabama,1051,1051
53,Escambia,Escambia County,1,1,AL,Alabama,1053,1053
55,Etowah,Etowah County,1,1,AL,Alabama,1055,1055
57,Fayette,Fayette County,1,1,AL,Alabama,1057,1057
59,Franklin,Franklin County,1,1,AL,Alabama,1059,1059
61,Geneva,Geneva County,1,1,AL,Alabama,1061,1061
